unit,mu1,mu2,var1_total,var2_total,cov12_total
1,1.1855249255595046,1.8502065123427143,355.7752369551067,226.00634556936558,150.14180444927575
2,6.983701258510418,3.1852176604084996,357.61674831155125,248.86253782656655,185.94086696826332
3,0.8353808353808363,5.741009604645968,583.8453597667357,233.5157547397633,177.5108608618772
4,12.20381759108842,15.64666976096542,580.547767587366,1127.3029445449995,412.3473398195479
5,-0.1922500749026268,5.460401478078499,375.0196330043424,392.6930872385291,158.8714693743435
6,15.3882152733461,11.895341416719848,1345.9228193560539,879.3432265426562,812.6185390160575
7,7.961063533160726,15.812587134037045,566.1939297458805,807.3776096049517,465.8571720343964
8,3.2485269150104856,2.2835314091680807,453.56788249662065,190.14817946629768,134.45245501730602
9,3.5036052064800063,10.113306489371661,617.6323573867294,661.5004119438017,369.09454421763826
10,1.7682332293291723,3.9955635725429017,538.9755353340596,166.24175748919822,65.39810399882356
