unit,y1_lower,y1_upper,y2_lower,y2_upper,prob
1,25.0,30.0,-20.0,-5.0,0.005582693649685973
1,25.0,30.0,-5.0,0.0,0.010746685275645498
1,25.0,30.0,0.0,10.0,0.0053035589672016745
1,25.0,30.0,10.0,30.0,0.006559665038381019
1,25.0,30.0,30.0,130.0,0.006001395673412421
1,30.0,75.0,-20.0,-5.0,0.09881367759944173
1,30.0,75.0,-5.0,0.0,0.11151430565247732
1,30.0,75.0,0.0,10.0,0.06824842986741102
1,30.0,75.0,10.0,30.0,0.06713189113747382
1,30.0,75.0,30.0,130.0,0.0526168876482903
1,75.0,100.0,-20.0,-5.0,0.07466852756454989
1,75.0,100.0,-5.0,0.0,0.07020237264480111
1,75.0,100.0,0.0,10.0,0.06587578506629449
1,75.0,100.0,10.0,30.0,0.055129099790648985
1,75.0,100.0,30.0,130.0,0.05401256106071179
1,100.0,125.0,-20.0,-5.0,0.06936496859734823
1,100.0,125.0,-5.0,0.0,0.0526168876482903
1,100.0,125.0,0.0,10.0,0.04689462665736217
1,100.0,125.0,10.0,30.0,0.044103279832519195
1,100.0,125.0,30.0,130.0,0.034612700628053036
2,10.0,30.0,-20.0,-5.0,0.027597887815084186
2,10.0,30.0,-5.0,0.0,0.051907940619707084
2,10.0,30.0,0.0,20.0,0.012155026402311447
2,30.0,90.0,-20.0,-5.0,0.12334362857427517
2,30.0,90.0,-5.0,0.0,0.18372023513001892
2,30.0,90.0,0.0,20.0,0.10202251668825346
2,30.0,90.0,20.0,50.0,0.0641625983859719
2,90.0,130.0,-20.0,-5.0,0.04343927468367042
2,90.0,130.0,-5.0,0.0,0.08956859619408189
2,90.0,130.0,0.0,20.0,0.06356481020225166
2,90.0,130.0,20.0,50.0,0.04832121151738567
2,130.0,170.0,-20.0,-5.0,0.06685264521271296
2,130.0,170.0,-5.0,0.0,0.061273288831324095
2,130.0,170.0,0.0,20.0,0.04343927468367042
2,130.0,170.0,20.0,50.0,0.018631065059280662
3,10.0,30.0,-30.0,-5.0,0.018056174765938474
3,10.0,30.0,-5.0,0.0,0.012706197057512261
3,10.0,30.0,0.0,15.0,0.002674988854213107
3,10.0,30.0,15.0,50.0,0.0018947837717342843
3,30.0,90.0,-30.0,-5.0,0.04569772625947392
3,30.0,90.0,-5.0,0.0,0.10989745876058848
3,30.0,90.0,0.0,15.0,0.17521176995095855
3,30.0,90.0,15.0,50.0,0.050601872492197955
3,90.0,130.0,-30.0,-5.0,0.04068212215782434
3,90.0,130.0,-5.0,0.0,0.10766830138207759
3,90.0,130.0,0.0,15.0,0.2537895675434686
3,90.0,130.0,15.0,50.0,0.08392777530093626
