unit,mu1,mu2,var1_total,var2_total,cov12_total
1,84.06396351984225,6.520006573001396,1418.1300800591403,420.1343257250409,8.513406859166754
2,88.40584058405841,7.9927992799279926,1452.80419031002,380.04955311012645,-5.099987946589435
3,91.72182781721827,6.436856314368564,906.3310460608108,815.6845023593497,104.33529989666766
4,56.838367673534705,7.919083816763353,296.8954593079048,472.871894926428,10.77562907060308
5,57.33273327332733,-0.18551855185518606,516.6580654465087,375.465632871918,75.16773879608184
6,135.47724166929464,16.36339745611269,1921.3891505821582,1255.1972810884283,-9.901169394591783
7,150.6445218064017,4.252006575766365,4341.050600731102,341.2280505621848,-220.50958551663115
8,164.6170413952511,3.0936121033830632,3680.295662522136,470.45547996244505,-68.80516220667876
9,65.82558696693818,4.233828461907044,492.15102075832874,720.5254232761167,94.74130980361002
10,295.03250498060186,6.545559400230681,2070.0602834702754,605.7977827871028,144.67032364327656
