unit,mu1,mu2,var1_total,var2_total,cov12_total
1,77.69678995115143,12.451500348918351,766.5340231917481,1036.6837957252264,8.493493999724393
2,85.69592507721428,2.569243797947594,1842.2434289796745,242.27564267813352,34.89502162711328
3,91.63731609451628,5.850980829246546,1251.398554009313,214.22604711346816,60.49644355978246
4,57.25615837239454,8.457714171736312,293.9997065144614,775.5691287665452,-19.95371385759498
5,57.91515151515152,5.271717171717173,520.582699724518,388.1719610243853,44.96547903275176
6,187.08657225002665,17.03125332765414,6743.7179515948665,1291.5509701290243,-181.06324235495495
7,147.03559027777777,10.051649305555557,3852.410191665461,416.99964716405043,-78.61859168535398
8,163.44284428442845,2.0972097209720975,3546.130121563011,182.40789200432195,11.797785314084983
9,65.54826616682287,5.726335520149952,502.9249587245316,402.008753488176,125.32225278417272
10,299.6603754018459,5.075754433267654,2096.82889793367,218.2983505879738,85.23391016996284
