airline,Y1_interval,Y3_interval,joint_probability
1,"[20,30)","[-20,-5]",0.0835
1,"[20,30)","[-5,0]",0.0767
1,"[20,30)","[0,10]",0.0381
1,"[20,30)","[10,30]",0.0847
1,"[20,30)","[30,180]",0.0723
1,"[30,75)","[-20,-5]",0.0708
1,"[30,75)","[-5,0]",0.0799
1,"[30,75)","[0,10]",0.0489
1,"[30,75)","[10,30]",0.0481
1,"[30,75)","[30,180]",0.0377
1,"[75,100)","[-20,-5]",0.0535
1,"[75,100)","[-5,0]",0.0503
1,"[75,100)","[0,10]",0.0472
1,"[75,100)","[10,30]",0.0395
1,"[75,100)","[30,180]",0.0387
1,"[100,125)","[-20,-5]",0.0497
1,"[100,125)","[-5,0]",0.0377
1,"[100,125)","[0,10]",0.0336
1,"[100,125)","[10,30]",0.0316
1,"[100,125)","[30,180]",0.0248
2,"[10,30)","[-20,-5]",0.0277
2,"[10,30)","[-5,0]",0.0532
2,"[10,30)","[0,20]",0.0923
2,"[10,30)","[20,30]",0.0122
2,"[30,90)","[-20,-5]",0.1288
2,"[30,90)","[-5,0]",0.1844
2,"[30,90)","[0,20]",0.1024
2,"[30,90)","[20,30]",0.0684
2,"[90,130)","[-20,-5]",0.0045
2,"[90,130)","[-5,0]",0.0889
2,"[90,130)","[0,20]",0.0628
2,"[90,130)","[20,30]",0.0405
2,"[130,170]","[-20,-5]",0.0471
2,"[130,170]","[-5,0]",0.0615
2,"[130,170]","[0,20]",0.0436
2,"[130,170]","[20,30]",0.0187
3,"[10,30)","[-20,-5]",0.0165
3,"[10,30)","[-5,0]",0.0114
3,"[10,30)","[0,10]",0.0024
3,"[10,30)","[10,30]",0.0017
3,"[30,90)","[-20,-5]",0.016
3,"[30,90)","[-5,0]",0.0896
3,"[30,90)","[0,10]",0.1417
3,"[30,90)","[10,30]",0.03
3,"[90,130)","[-20,-5]",0.0563
3,"[90,130)","[-5,0]",0.0896
3,"[90,130)","[0,10]",0.1265
3,"[90,130)","[10,30]",0.0946
3,"[130,170]","[-20,-5]",0.0046
3,"[130,170]","[-5,0]",0.0048
3,"[130,170]","[0,10]",0.0161
3,"[130,170]","[10,30]",0.0107
3,"[130,170]","[30,180]",0.0084
4,"[20,35)","[-18,-5]",0.0106
4,"[20,35)","[-5,0]",0.0319
4,"[20,35)","[0,20]",0.0111
4,"[35,50)","[-18,-5]",0.05
4,"[35,50)","[-5,0]",0.1536
4,"[35,50)","[0,20]",0.0716
4,"[35,50)","[20,120]",0.0597
4,"[50,65)","[-18,-5]",0.0177
4,"[50,65)","[-5,0]",0.1246
4,"[50,65)","[0,20]",0.0705
4,"[50,65)","[20,120]",0.0446
4,"[65,80)","[-18,-5]",0.047
4,"[65,80)","[-5,0]",0.0971
4,"[65,80)","[0,20]",0.0268
4,"[65,80)","[20,120]",0.022
4,"[80,95]","[-18,-5]",0.023
4,"[80,95]","[-5,0]",0.0505
4,"[80,95]","[0,20]",0.029
4,"[80,95]","[20,120]",0.0111
