airline,Y1_interval,Y2_interval,joint_probability
9,"[20,40)","[-20,0)",0.0249
9,"[20,40)","[0,30)",0.0117
9,"[20,40)","[30,60]",0.012
9,"[40,60)","[-45,-20)",0.0625
9,"[40,60)","[-20,0)",0.2256
9,"[40,60)","[0,30)",0.0946
9,"[40,60)","[30,60]",0.0709
9,"[60,80)","[-45,-20)",0.0305
9,"[60,80)","[-20,0)",0.1096
9,"[60,80)","[0,30)",0.0791
9,"[60,80)","[30,60]",0.052
9,"[80,100)","[-45,-20)",0.0505
9,"[80,100)","[-20,0)",0.0279
9,"[80,100)","[0,30)",0.0423
9,"[80,100)","[30,60]",0.0413
9,"[100,120]","[-45,-20)",0.006
9,"[100,120]","[-20,0)",0.0195
9,"[100,120]","[0,30)",0.0278
9,"[100,120]","[30,60]",0.0435
10,"[200,250)","[-50,-20)",0.012
10,"[200,250)","[-30,0)",0.0727
10,"[200,250)","[0,30)",0.0356
10,"[200,250)","[30,60]",0.0226
10,"[250,300)","[-50,-20)",0.0226
10,"[250,300)","[-30,0)",0.1248
10,"[250,300)","[0,30)",0.1729
10,"[250,300)","[30,60]",0.0632
10,"[300,350)","[-50,-20)",0.0135
10,"[300,350)","[-30,0)",0.1296
10,"[300,350)","[0,30)",0.1474
10,"[300,350)","[30,60]",0.0391
10,"[350,400]","[-30,0)",0.0195
10,"[350,400]","[0,30)",0.0451
10,"[350,400]","[30,60]",0.0331
