airline,Y2_interval,Y3_interval,joint_probability
9,"[30,60]","[-20,-5]",0.0023
9,"[30,60]","[-5,0]",0.0075
9,"[30,60]","[0,10]",0.0275
9,"[30,60]","[10,50]",0.1157
9,"[30,60]","[50,150]",0.0448
10,"[-50,-30)","[-16,-5]",0.0135
10,"[-50,-30)","[-5,0]",0.0165
10,"[-50,-30)","[0,10]",0.0165
10,"[-30,0)","[-16,-5]",0.0917
10,"[-30,0)","[-5,0]",0.1398
10,"[-30,0)","[0,10]",0.1564
10,"[-30,0)","[10,30]",0.0827
10,"[0,30)","[-16,-5]",0.0496
10,"[0,30)","[-5,0]",0.1353
10,"[0,30)","[0,10]",0.1224
10,"[0,30)","[10,30]",0.0977
10,"[30,60]","[-16,-5]",0.0045
10,"[30,60]","[-5,0]",0.0226
10,"[30,60]","[0,10]",0.0331
10,"[30,60]","[10,30]",0.0378
10,"[30,60]","[50,150]",0.0055
