airline,Y2_interval,Y3_interval,joint_probability
1,"[-40,-20)","[-20,-5]",0.0484
1,"[-40,-20)","[-5,0]",0.0139
1,"[-40,-20)","[0,10]",0.0031
1,"[-20,0)","[-20,-5]",0.1349
1,"[-20,0)","[-5,0]",0.3409
1,"[-20,0)","[0,10]",0.0476
1,"[-20,0)","[10,50]",0.0076
1,"[0,25)","[-20,-5]",0.0601
1,"[0,25)","[-5,0]",0.0898
1,"[0,25)","[0,10]",0.0865
1,"[0,25)","[10,50]",0.0904
1,"[25,50)","[-20,-5]",0.0052
1,"[25,50)","[-5,0]",0.0139
1,"[25,50)","[0,10]",0.0164
1,"[25,50)","[10,50]",0.0824
2,"[-30,-10)","[-20,-5]",0.0667
2,"[-30,-10)","[-5,0]",0.0693
2,"[-30,-10)","[0,20]",0.0122
2,"[-10,10)","[-20,-5]",0.1369
2,"[-10,10)","[-5,0]",0.2345
2,"[-10,10)","[0,20]",0.0968
2,"[-10,10)","[20,50]",0.0009
2,"[10,30)","[-20,-5]",0.0283
2,"[10,30)","[-5,0]",0.0702
2,"[10,30)","[0,20]",0.092
2,"[10,30)","[20,50]",0.027
2,"[30,50]","[-20,-5]",0.0021
2,"[30,50]","[-5,0]",0.0071
2,"[30,50]","[0,20]",0.0164
2,"[30,50]","[20,50]",0.109
3,"[-50,-20)","[-30,-5]",0.0469
3,"[-50,-20)","[-5,0]",0.0343
3,"[-50,-20)","[0,15]",0.0275
3,"[-50,-20)","[15,50]",0.0002
3,"[-20,0)","[-30,-5]",0.0606
3,"[-20,0)","[-5,0]",0.1156
3,"[-20,0)","[0,15]",0.2191
3,"[-20,0)","[15,50]",0.0107
3,"[0,30)","[-30,-5]",0.0129
3,"[0,30)","[-5,0]",0.0447
3,"[0,30)","[0,15]",0.1714
3,"[0,30)","[15,50]",0.0787
3,"[30,80]","[-30,-5]",0.002
3,"[30,80]","[-5,0]",0.0029
3,"[30,80]","[0,15]",0.0191
3,"[30,80]","[15,50]",0.0488
4,"[-35,-15)","[-18,-5]",0.0434
4,"[-35,-15)","[-5,0]",0.0443
4,"[-15,10)","[-18,-5]",0.1157
4,"[-15,10)","[-5,0]",0.1277
4,"[-15,10)","[0,20]",0.0962
4,"[-15,10)","[20,120]",0.035
4,"[10,35)","[-18,-5]",0.0155
4,"[10,35)","[-5,0]",0.0665
4,"[10,35)","[0,20]",0.0962
4,"[10,35)","[20,120]",0.035
4,"[35,60]","[-18,-5]",0.0027
4,"[35,60]","[-5,0]",0.0066
4,"[35,60]","[0,20]",0.0513
4,"[35,60]","[20,120]",0.1257
5,"[-30,-15)","[-20,-5]",0.1011
5,"[-30,-15)","[-5,0]",0.0912
5,"[-30,-15)","[0,60]",0.0104
5,"[-15,5)","[-20,-5]",0.1101
5,"[-15,5)","[-5,0]",0.2935
5,"[-15,5)","[0,60]",0.1271
5,"[5,35)","[-20,-5]",0.0163
5,"[5,35)","[-5,0]",0.064
5,"[5,35)","[0,60]",0.1271
5,"[35,60]","[-20,-5]",0.0021
5,"[35,60]","[-5,0]",0.0071
5,"[35,60]","[0,60]",0.0513
6,"[-50,-20)","[-18,-5]",0.0267
6,"[-50,-20)","[-5,0]",0.0331
6,"[-50,-20)","[0,10]",0.0145
6,"[-50,-20)","[10,50]",0.0008
6,"[-20,10)","[-18,-5]",0.0904
6,"[-20,10)","[-5,0]",0.2562
6,"[-20,10)","[0,10]",0.084
6,"[-20,10)","[10,50]",0.0176
6,"[10,40)","[-18,-5]",0.0147
6,"[10,40)","[-5,0]",0.0523
6,"[10,40)","[0,10]",0.0828
6,"[10,40)","[10,50]",0.1128
6,"[40,80)","[-18,-5]",0.0025
6,"[40,80)","[-5,0]",0.0068
6,"[40,80)","[0,10]",0.0074
6,"[40,80)","[10,50]",0.0595
6,"[80,130]","[-18,-5]",0.0002
6,"[80,130]","[-5,0]",0.0013
6,"[80,130]","[0,10]",0.0019
6,"[80,130]","[10,50]",0.0077
6,"[80,130]","[50,150]",0.067
7,"[-40,-20)","[-20,-5]",0.022
7,"[-40,-20)","[-5,0]",0.0314
7,"[-40,-20)","[0,10]",0.0107
7,"[-40,-20)","[10,50]",0.0019
7,"[-20,0)","[-20,-5]",0.0691
7,"[-20,0)","[-5,0]",0.1601
7,"[-20,0)","[0,10]",0.1446
7,"[-20,0)","[10,50]",0.0275
7,"[0,30)","[-20,-5]",0.023
7,"[0,30)","[-5,0]",0.0627
7,"[0,30)","[0,10]",0.1224
7,"[0,30)","[10,50]",0.131
7,"[30,60]","[-20,-5]",0.0028
7,"[30,60]","[-5,0]",0.0057
7,"[30,60]","[0,10]",0.0101
7,"[30,60]","[10,50]",0.0378
7,"[30,60]","[50,100]",0.1414
8,"[-35,-15)","[-15,-5]",0.0702
8,"[-35,-15)","[-5,0]",0.0829
8,"[-35,-15)","[0,40]",0.0056
8,"[-15,5)","[-15,-5]",0.132
8,"[-15,5)","[-5,0]",0.2528
8,"[-15,5)","[0,40]",0.0829
8,"[5,25)","[-15,-5]",0.052
8,"[5,25)","[-5,0]",0.0997
8,"[5,25)","[0,40]",0.0801
8,"[25,60]","[-15,-5]",0.0014
8,"[25,60]","[-5,0]",0.0154
8,"[25,60]","[0,40]",0.125
8,"[25,60]","[50,100]",0.0013
9,"[-45,-20)","[-20,-5]",0.0652
9,"[-45,-20)","[-5,0]",0.0318
9,"[-45,-20)","[0,10]",0.0076
9,"[-20,0)","[-20,-5]",0.109
9,"[-20,0)","[-5,0]",0.2129
9,"[-20,0)","[0,10]",0.1545
9,"[-20,0)","[10,50]",0.0533
9,"[0,30)","[-20,-5]",0.0199
9,"[0,30)","[-5,0]",0.0486
9,"[0,30)","[0,10]",0.0604
9,"[0,30)","[10,50]",0.1069
