airline,Y1_interval,Y3_interval,joint_probability
1,"[25,30)","[-20,-5]",0.004
1,"[25,30)","[-5,0]",0.0077
1,"[25,30)","[0,10]",0.0038
1,"[25,30)","[10,30]",0.0047
1,"[25,30)","[30,130]",0.0043
1,"[30,75)","[-20,-5]",0.0708
1,"[30,75)","[-5,0]",0.0799
1,"[30,75)","[0,10]",0.0489
1,"[30,75)","[10,30]",0.0481
1,"[30,75)","[30,130]",0.0377
1,"[75,100)","[-20,-5]",0.0535
1,"[75,100)","[-5,0]",0.0503
1,"[75,100)","[0,10]",0.0472
1,"[75,100)","[10,30]",0.0395
1,"[75,100)","[30,130]",0.0387
1,"[100,125)","[-20,-5]",0.0497
1,"[100,125)","[-5,0]",0.0377
1,"[100,125)","[0,10]",0.0336
1,"[100,125)","[10,30]",0.0316
1,"[100,125)","[30,130]",0.0248
2,"[10,30)","[-20,-5]",0.0277
2,"[10,30)","[-5,0]",0.0521
2,"[10,30)","[0,20]",0.0122
2,"[30,90)","[-20,-5]",0.1238
2,"[30,90)","[-5,0]",0.1844
2,"[30,90)","[0,20]",0.1024
2,"[30,90)","[20,50]",0.0644
2,"[90,130)","[-20,-5]",0.0436
2,"[90,130)","[-5,0]",0.0899
2,"[90,130)","[0,20]",0.0638
2,"[90,130)","[20,50]",0.0485
2,"[130,170]","[-20,-5]",0.0671
2,"[130,170]","[-5,0]",0.0615
2,"[130,170]","[0,20]",0.0436
2,"[130,170]","[20,50]",0.0187
3,"[10,30)","[-30,-5]",0.0162
3,"[10,30)","[-5,0]",0.0114
3,"[10,30)","[0,15]",0.0024
3,"[10,30)","[15,50]",0.0017
3,"[30,90)","[-30,-5]",0.041
3,"[30,90)","[-5,0]",0.0986
3,"[30,90)","[0,15]",0.1572
3,"[30,90)","[15,50]",0.0454
3,"[90,130)","[-30,-5]",0.0365
3,"[90,130)","[-5,0]",0.0966
3,"[90,130)","[0,15]",0.2277
3,"[90,130)","[15,50]",0.0753
3,"[130,170]","[-30,-5]",0.0068
3,"[130,170]","[-5,0]",0.0181
3,"[130,170]","[0,15]",0.0535
3,"[130,170]","[15,50]",0.0088
4,"[20,35)","[-18,-5]",0.0106
4,"[20,35)","[-5,0]",0.0319
4,"[20,35)","[0,20]",0.0111
4,"[35,50)","[-18,-5]",0.055
4,"[35,50)","[-5,0]",0.1545
4,"[35,50)","[0,20]",0.0718
4,"[35,50)","[20,120]",0.0599
4,"[50,65)","[-18,-5]",0.0477
4,"[50,65)","[-5,0]",0.1246
4,"[50,65)","[0,20]",0.0785
4,"[50,65)","[20,120]",0.0446
4,"[65,80)","[-18,-5]",0.047
4,"[65,80)","[-5,0]",0.0971
4,"[65,80)","[0,20]",0.0268
4,"[65,80)","[20,120]",0.022
4,"[80,95]","[-18,-5]",0.029
4,"[80,95]","[-5,0]",0.0505
4,"[80,95]","[0,20]",0.029
4,"[80,95]","[20,120]",0.0111
5,"[20,40)","[-20,-5]",0.0506
5,"[20,40)","[-5,0]",0.094
5,"[20,40)","[0,60]",0.0428
5,"[40,60)","[-20,-5]",0.0978
5,"[40,60)","[-5,0]",0.2381
5,"[40,60)","[0,60]",0.1297
5,"[60,80)","[-20,-5]",0.0321
5,"[60,80)","[-5,0]",0.0577
5,"[60,80)","[0,60]",0.06
5,"[80,100)","[-20,-5]",0.0356
5,"[80,100)","[-5,0]",0.0456
5,"[80,100)","[0,60]",0.051
5,"[100,120]","[-20,-5]",0.0116
5,"[100,120]","[-5,0]",0.0201
5,"[100,120]","[0,60]",0.0233
6,"[40,100)","[-18,-5]",0.0115
6,"[40,100)","[-5,0]",0.0227
6,"[40,100)","[0,10]",0.0151
6,"[40,100)","[10,50]",0.0188
6,"[40,100)","[50,150]",0.0136
6,"[100,180)","[-18,-5]",0.0714
6,"[100,180)","[-5,0]",0.1368
6,"[100,180)","[0,10]",0.1143
6,"[100,180)","[10,50]",0.0782
6,"[100,180)","[50,150]",0.0634
6,"[180,240)","[-18,-5]",0.0194
6,"[180,240)","[-5,0]",0.0435
6,"[180,240)","[0,10]",0.0468
6,"[180,240)","[10,50]",0.0377
6,"[180,240)","[50,150]",0.0241
6,"[240,320)","[-18,-5]",0.0216
6,"[240,320)","[-5,0]",0.0432
6,"[240,320)","[0,10]",0.0295
6,"[240,320)","[10,50]",0.021
6,"[240,320)","[50,150]",0.0082
6,"[320,380]","[-18,-5]",0.0104
6,"[320,380]","[-5,0]",0.0292
6,"[320,380]","[0,10]",0.0295
6,"[320,380]","[10,50]",0.021
6,"[320,380]","[50,150]",0.0082
7,"[40,90)","[-20,-5]",0.0214
7,"[40,90)","[-5,0]",0.0394
7,"[40,90)","[0,10]",0.0499
7,"[40,90)","[10,50]",0.0534
7,"[40,90)","[50,100]",0.0069
7,"[90,140)","[-20,-5]",0.0252
7,"[90,140)","[-5,0]",0.164
7,"[90,140)","[0,10]",0.1195
7,"[90,140)","[10,50]",0.1121
7,"[90,140)","[50,100]",0.0159
7,"[140,190)","[-20,-5]",0.0358
7,"[140,190)","[-5,0]",0.0897
7,"[140,190)","[0,10]",0.1167
7,"[140,190)","[10,50]",0.0947
7,"[140,190)","[50,100]",0.0138
7,"[190,240)","[-20,-5]",0.0019
7,"[190,240)","[-5,0]",0.0044
7,"[190,240)","[0,10]",0.009
7,"[190,240)","[10,50]",0.0063
7,"[190,240)","[50,100]",0.0008
7,"[240,290]","[-20,-5]",0.0289
7,"[240,290]","[-5,0]",0.0633
7,"[240,290]","[0,10]",0.0413
7,"[240,290]","[10,50]",0.0314
7,"[240,290]","[50,100]",0.0063
8,"[35,70)","[-15,-5]",0.0496
8,"[35,70)","[-5,0]",0.0551
8,"[35,70)","[0,40]",0.0234
8,"[70,135)","[-15,-5]",0.0413
8,"[70,135)","[-5,0]",0.0427
8,"[70,135)","[0,40]",0.0303
8,"[135,195)","[-15,-5]",0.0661
8,"[135,195)","[-5,0]",0.1887
8,"[135,195)","[0,40]",0.1694
8,"[195,255]","[-15,-5]",0.1019
8,"[195,255]","[-5,0]",0.1639
8,"[195,255]","[0,40]",0.0675
9,"[20,40)","[-20,-5]",0.0072
9,"[20,40)","[-5,0]",0.011
9,"[20,40)","[0,10]",0.0154
9,"[40,60)","[-20,-5]",0.0976
9,"[40,60)","[-5,0]",0.1411
9,"[40,60)","[0,10]",0.0951
9,"[40,60)","[10,50]",0.0784
9,"[60,80)","[-20,-5]",0.0611
9,"[60,80)","[-5,0]",0.0721
9,"[60,80)","[0,10]",0.0444
9,"[60,80)","[10,50]",0.045
9,"[80,100)","[-20,-5]",0.0148
9,"[80,100)","[-5,0]",0.0202
9,"[80,100)","[0,10]",0.0195
9,"[80,100)","[10,50]",0.0265
9,"[100,120]","[-20,-5]",0.0192
9,"[100,120]","[-5,0]",0.0183
9,"[100,120]","[0,10]",0.0195
9,"[100,120]","[10,50]",0.0214
9,"[100,120]","[50,100]",0.0258
10,"[200,250)","[-16,-5]",0.0135
10,"[200,250)","[-5,0]",0.0526
10,"[200,250)","[0,10]",0.0511
10,"[250,300)","[-16,-5]",0.0662
10,"[250,300)","[-5,0]",0.1411
10,"[250,300)","[0,10]",0.0951
10,"[250,300)","[10,50]",0.0784
10,"[300,350)","[-16,-5]",0.0541
10,"[300,350)","[-5,0]",0.0887
10,"[300,350)","[0,10]",0.1158
10,"[300,350)","[10,50]",0.0812
10,"[350,400]","[-16,-5]",0.0256
10,"[350,400]","[-5,0]",0.0361
10,"[350,400]","[0,10]",0.0271
10,"[350,400]","[10,50]",0.0377
