airline,Y1_interval,Y2_interval,joint_probability
6,"[210,250)","[70,100)",0.003
6,"[250,320)","[-50,-20)",0.0202
6,"[250,320)","[-20,10)",0.0656
6,"[250,320)","[10,40)",0.0211
6,"[250,320)","[40,70)",0.0062
6,"[250,320)","[70,100)",0.0013
6,"[320,380]","[-50,-20)",0.0082
6,"[320,380]","[-20,10)",0.0446
6,"[320,380]","[10,40)",0.0314
6,"[320,380]","[40,70)",0.0065
6,"[320,380]","[70,100)",0.003
6,"[320,380]","[100,130]",0.0046
7,"[40,90)","[-40,-20)",0.0011
7,"[40,90)","[-20,0)",0.0675
7,"[40,90)","[0,20)",0.066
7,"[40,90)","[20,40]",0.0363
7,"[90,140)","[-40,-20)",0.0109
7,"[90,140)","[-20,0)",0.1259
7,"[90,140)","[0,20)",0.1008
7,"[90,140)","[20,40]",0.0463
7,"[140,190)","[-40,-20)",0.0197
7,"[140,190)","[-20,0)",0.1123
7,"[140,190)","[0,20)",0.1251
7,"[140,190)","[20,40]",0.0986
7,"[190,240)","[-40,-20)",0.0019
7,"[190,240)","[-20,0)",0.0038
7,"[190,240)","[0,20)",0.0048
7,"[190,240)","[20,40]",0.0119
7,"[240,290]","[-40,-20)",0.0314
7,"[240,290]","[-20,0)",0.0848
7,"[240,290]","[0,20)",0.049
7,"[240,290]","[20,40]",0.012
8,"[35,70)","[-35,-15)",0.0193
8,"[35,70)","[-15,5)",0.0634
8,"[35,70)","[5,25)",0.0262
8,"[35,70)","[25,45)",0.0096
8,"[70,135)","[-35,-15)",0.0179
8,"[70,135)","[-15,5)",0.0537
8,"[70,135)","[5,25)",0.0207
8,"[70,135)","[25,45)",0.0138
8,"[135,195)","[-35,-15)",0.0813
8,"[135,195)","[-15,5)",0.1804
8,"[135,195)","[5,25)",0.0978
8,"[135,195)","[25,45)",0.0234
8,"[195,255]","[-35,-15)",0.0565
8,"[195,255]","[-15,5)",0.1612
8,"[195,255]","[5,25)",0.0826
8,"[195,255]","[25,45)",0.0207
8,"[195,255]","[45,65]",0.0124
9,"[20,40)","[-50,-30)",0.0022
9,"[20,40)","[-30,0)",0.034
9,"[20,40)","[0,30)",0.0117
9,"[20,40)","[30,60]",0.012
9,"[40,60)","[-50,-30)",0.011
9,"[40,60)","[-30,0)",0.28
9,"[40,60)","[0,30)",0.0964
9,"[40,60)","[30,60]",0.0709
9,"[60,80)","[-50,-30)",0.0013
9,"[60,80)","[-30,0)",0.1263
9,"[60,80)","[0,30)",0.0791
9,"[60,80)","[30,60]",0.052
9,"[80,100)","[-50,-30)",0.0003
9,"[80,100)","[-30,0)",0.0287
9,"[80,100)","[0,30)",0.0472
9,"[80,100)","[30,60]",0.0413
9,"[100,120]","[-50,-30)",0.0013
9,"[100,120]","[-30,0)",0.0233
9,"[100,120]","[0,30)",0.0378
9,"[100,120]","[30,60]",0.0435
10,"[200,250)","[-50,-30)",0.012
10,"[200,250)","[-30,0)",0.0737
10,"[200,250)","[0,30)",0.0556
10,"[200,250)","[30,60]",0.0226
10,"[250,300)","[-50,-30)",0.0226
10,"[250,300)","[-30,0)",0.1368
10,"[250,300)","[0,30)",0.1729
10,"[250,300)","[30,60]",0.0632
10,"[300,350)","[-50,-30)",0.0135
10,"[300,350)","[-30,0)",0.1398
10,"[300,350)","[0,30)",0.1474
10,"[300,350)","[30,60]",0.0391
10,"[350,400]","[-50,-30)",0.0
10,"[350,400]","[-30,0)",0.0195
10,"[350,400]","[0,30)",0.0481
10,"[350,400]","[30,60]",0.0331
