unit,mu1,mu2,var1_total,var2_total,cov12_total
1,1.3431940129906805,-1.9071589946342837,441.1086134262581,71.72761325034907,63.45038123926271
2,5.88921589236914,2.1605003153247853,413.19394929057785,221.74769630914085,183.52792383144342
3,0.8353808353808363,5.741009604645968,583.8453597667357,233.5157547397633,177.5108608618772
4,14.906010675330702,15.64666976096542,831.5549472399263,1127.3029445449995,504.4434674525854
5,-0.1922500749026268,5.460401478078499,375.0196330043424,392.6930872385291,158.8714693743435
6,16.218889597957883,11.895341416719848,1519.0294467709784,879.3432265426562,876.4977544527112
7,11.900517825134438,15.812587134037045,986.9476814685629,807.3776096049517,637.3871514187317
8,3.2485269150104856,2.2835314091680807,453.56788249662065,190.14817946629768,134.45245501730602
9,3.5036052064800063,10.113306489371661,617.6323573867294,661.5004119438017,369.09454421763826
10,1.7682332293291723,3.9955635725429017,538.9755353340596,166.24175748919822,65.39810399882356
